language,dim,window,alg,family,seconds,n_words
he,50,1,cbow,fasttext,1334.5081059932709,658678
he,50,1,cbow,word2vec,819.1446418762207,658678
he,50,1,sg,fasttext,1455.2550280094147,658678
he,50,1,sg,word2vec,960.0342969894409,658678
he,100,2,cbow,fasttext,1665.1216928958893,658678
he,100,2,cbow,word2vec,924.8100101947784,658678
he,100,2,sg,fasttext,1954.7065970897675,658678
he,100,2,sg,word2vec,1627.5866401195526,658678
he,200,3,cbow,fasttext,2511.5040998458862,658678
he,200,3,cbow,word2vec,1191.6246240139008,658678
he,200,3,sg,fasttext,4026.60862159729,658678
he,200,3,sg,word2vec,2186.747454881668,658678
he,300,4,cbow,fasttext,2769.8743028640747,658678
he,300,4,cbow,word2vec,1280.4195697307587,658678
